"2011 census frozen ward","mnemonic","Total","Male","Female"
"Hampton","E36007549",20,15,5
"Hampton North","E36007550",30,15,15
"Hampton Wick","E36007551",10,10,5
"Heathfield","E36007552",45,20,25
"Kew","E36007553",20,15,5
"Mortlake and Barnes Common","E36007554",15,5,10
"North Richmond","E36007555",10,5,5
"South Richmond","E36007556",10,10,0
"South Twickenham","E36007557",10,5,5
"St Margarets and North Twickenham","E36007558",10,5,0
"Teddington","E36007559",15,5,10
"Twickenham Riverside","E36007560",10,5,5
"West Twickenham","E36007561",20,15,5
"Whitton","E36007562",15,10,5
"Beddington North","E36007584",20,15,5
"Beddington South","E36007585",45,20,25
"Belmont","E36007586",15,10,5
"Carshalton Central","E36007587",15,10,5
"Carshalton South and Clockhouse","E36007588",15,5,5
"Cheam","E36007589",15,5,5
"Nonsuch","E36007590",10,10,0
"St Helier","E36007591",60,35,25
"Stonecot","E36007592",20,10,10
"Sutton Central","E36007593",50,25,25
"Sutton North","E36007594",30,15,15
"Sutton South","E36007595",10,10,5
"Sutton West","E36007596",10,5,5
"The Wrythe","E36007597",30,15,15
"Wallington North","E36007598",40,20,15
"Wallington South","E36007599",30,15,15
"Wandle Valley","E36007600",75,40,35
"Worcester Park","E36007601",20,15,5
"Cann Hall","E36007619",40,25,15
"Cathall","E36007620",55,35,20
"Chapel End","E36007621",50,30,20
"Chingford Green","E36007622",25,20,5
"Endlebury","E36007623",30,20,10
"Forest","E36007624",50,25,25
"Grove Green","E36007625",30,20,10
"Hale End and Highams Park","E36007626",40,20,20
"Hatch Lane","E36007627",30,15,10
"High Street","E36007628",45,30,15
"Higham Hill","E36007629",75,45,30
"Hoe Street","E36007630",85,45,40
"Larkswood","E36007631",30,15,15
"Lea Bridge","E36007632",55,35,20
"Leyton","E36007633",65,40,25
"Leytonstone","E36007634",45,20,25
"Markhouse","E36007635",65,45,20
"Valley","E36007636",45,25,15
"William Morris","E36007637",45,25,20
"Wood Street","E36007638",55,30,25
"Ascot","E36000824",0,0,0
"Binfield with Warfield","E36000825",10,5,5
"Bullbrook","E36000826",15,10,5
"Central Sandhurst","E36000827",5,5,5
"College Town","E36000828",5,0,0
"Crown Wood","E36000829",5,0,5
"Crowthorne","E36000830",5,5,0
"Great Hollands North","E36000831",10,10,0
"Great Hollands South","E36000832",10,10,0
"Hanworth","E36000833",15,5,10
"Harmans Water","E36000834",10,5,5
"Little Sandhurst and Wellington","E36000835",5,5,0
"Old Bracknell","E36000836",45,20,20
"Owlsmoor","E36000837",10,5,5
"Priestwood and Garth","E36000838",15,10,10
"Warfield Harvest Ride","E36000839",5,0,0
"Wildridings and Central","E36000840",15,5,5
"Winkfield and Cranbourne","E36000841",5,0,5
"Brunswick and Adelaide","E36000973",35,20,10
"Central Hove","E36000974",20,10,10
"East Brighton","E36000975",105,60,45
"Goldsmid","E36000976",35,15,15
"Hangleton and Knoll","E36000977",55,35,20
"Hanover and Elm Grove","E36000978",65,35,30
"Hollingdean and Stanmer","E36000979",40,25,20
"Hove Park","E36000980",15,10,5
"Moulsecoomb and Bevendean","E36000981",105,60,45
"North Portslade","E36000982",60,40,20
"Patcham","E36000983",40,20,15
"Preston Park","E36000984",25,20,5
"Queen's Park","E36000985",45,25,20
"Regency","E36000986",30,15,15
"Rottingdean Coastal","E36000987",25,15,10
"South Portslade","E36000988",50,30,15
"St. Peter's and North Laine","E36000989",85,55,30
"Westbourne","E36000990",30,20,10
"Wish","E36000991",20,10,10
"Withdean","E36000992",20,15,10
"Woodingdean","E36000993",45,30,15
"Arreton and Newchurch","E36001024",0,0,0
"Binstead and Fishbourne","E36001025",0,0,0
"Brading, St Helens and Bembridge","E36001026",10,5,0
"Carisbrooke","E36001027",10,5,5
"Central Wight","E36001028",5,5,0
"Chale, Niton and Whitwell","E36001029",10,10,0
"Cowes Medina","E36001030",10,5,5
"Cowes North","E36001031",5,5,0
"Cowes South and Northwood","E36001032",5,0,0
"Cowes West and Gurnard","E36001033",5,0,0
"East Cowes","E36001034",5,5,5
"Freshwater North","E36001035",5,5,0
"Freshwater South","E36001036",5,5,0
"Godshill and Wroxall","E36001037",10,5,5
"Havenstreet, Ashey and Haylands","E36001038",10,5,5
"Lake North","E36001039",5,5,5
"Lake South","E36001040",10,5,0
"Nettlestone and Seaview","E36001041",0,0,0
"Newport Central","E36001042",15,10,5
"Newport East","E36001043",25,15,10
"Newport North","E36001044",10,5,5
"Newport South","E36001045",15,10,5
"Newport West","E36001046",10,5,5
"Parkhurst","E36001047",10,5,5
"Ryde East","E36001048",5,5,0
"Ryde North East","E36001049",30,20,15
"Ryde North West","E36001050",15,10,0
"Ryde South","E36001051",25,15,10
"Ryde West","E36001052",20,15,5
"Sandown North","E36001053",15,10,5
"Sandown South","E36001054",20,10,10
"Shanklin Central","E36001055",5,5,5
"Shanklin South","E36001056",5,0,0
"Totland","E36001057",0,0,0
"Ventnor East","E36001058",5,5,5
"Ventnor West","E36001059",5,5,0
"West Wight","E36001060",5,5,0
"Whippingham and Osborne","E36001061",20,10,10
"Wootton Bridge","E36001062",5,5,0
"Chatham Central","E36000802",110,65,50
"Cuxton and Halling","E36000803",5,0,5
"Gillingham North","E36000804",145,95,45
"Gillingham South","E36000805",125,80,50
"Hempstead and Wigmore","E36000806",10,5,5
"Lordswood and Capstone","E36000807",20,10,10
"Luton and Wayfield","E36000808",100,70,30
"Peninsula","E36000809",45,25,20
"Princes Park","E36000810",40,25,15
"Rainham Central","E36000811",25,15,10
"Rainham North","E36000812",20,10,10
"Rainham South","E36000813",25,15,10
"River","E36000814",65,35,30
"Rochester East","E36000815",40,20,20
"Rochester South and Horsted","E36000816",40,20,15
"Rochester West","E36000817",45,30,15
"Strood North","E36000818",50,20,30
"Strood Rural","E36000819",40,25,15
"Strood South","E36000820",85,45,40
"Twydall","E36000821",60,40,20
"Walderslade","E36000822",45,20,25
"Watling","E36000823",40,20,20
"Bletchley and Fenny Stratford","E36000950",50,30,20
"Bradwell","E36000951",40,25,15
"Campbell Park","E36000952",65,45,20
"Danesborough","E36000953",5,0,5
"Denbigh","E36000954",15,10,5
"Eaton Manor","E36000955",40,25,15
"Emerson Valley","E36000956",30,20,10
"Furzton","E36000957",20,10,10
"Hanslope Park","E36000958",5,5,0
"Linford North","E36000959",10,5,5
"Linford South","E36000960",20,10,10
"Loughton Park","E36000961",25,15,10
"Middleton","E36000962",40,25,20
"Newport Pagnell North","E36000963",5,5,0
"Newport Pagnell South","E36000964",10,5,5
"Olney","E36000965",0,0,0
"Sherington","E36000966",0,0,0
"Stantonbury","E36000967",25,15,10
"Stony Stratford","E36000968",30,20,10
"Walton Park","E36000969",30,20,15
"Whaddon","E36000970",15,5,5
"Wolverton","E36000971",50,30,20
"Woughton","E36000972",50,30,20
"Baffins","E36000994",45,30,15
"Central Southsea","E36000995",45,30,15
"Charles Dickens","E36000996",145,75,75
"Copnor","E36000997",30,15,15
"Cosham","E36000998",50,30,20
"Drayton and Farlington","E36000999",20,15,5
"Eastney and Craneswater","E36001000",20,15,10
"Fratton","E36001001",50,35,15
"Hilsea","E36001002",20,15,5
"Milton","E36001003",45,25,15
"Nelson","E36001004",65,35,25
"Paulsgrove","E36001005",55,35,20
"St Jude","E36001006",40,25,15
"St Thomas","E36001007",45,25,20
"Abbey","E36000872",30,20,10
"Battle","E36000873",35,20,10
"Caversham","E36000874",15,10,10
"Church","E36000875",35,20,15
"Katesgrove","E36000876",30,20,15
"Kentwood","E36000877",20,15,10
"Mapledurham","E36000878",0,0,0
"Minster","E36000879",55,30,25
"Norcot","E36000880",35,25,15
"Park","E36000881",25,15,10
"Peppard","E36000882",10,5,0
"Redlands","E36000883",20,10,10
"Southcote","E36000884",20,10,10
"Thames","E36000885",10,5,5
"Tilehurst","E36000886",20,10,10
"Whitley","E36000887",50,25,25
"Baylis and Stoke","E36000888",30,15,15
"Britwell","E36000889",30,20,10
"Central","E36000890",40,20,15
"Chalvey","E36000891",50,25,20
"Cippenham Green","E36000892",20,15,10
"Cippenham Meadows","E36000893",25,15,10
"Colnbrook with Poyle","E36000894",10,5,5
"Farnham","E36000895",30,15,20
"Foxborough","E36000896",25,15,10
"Haymill","E36000897",20,10,10
"Kedermister","E36000898",20,15,10
"Langley St Mary's","E36000899",10,5,5
"Upton","E36000900",30,20,15
"Wexham Lea","E36000901",30,20,10
"Bargate","E36001008",85,40,45
"Bassett","E36001009",20,10,5
"Bevois","E36001010",135,80,55
"Bitterne","E36001011",85,50,40
"Bitterne Park","E36001012",40,25,15
"Coxford","E36001013",45,20,25
"Freemantle","E36001014",75,35,40
"Harefield","E36001015",65,35,30
"Millbrook","E36001016",55,30,25
"Peartree","E36001017",65,35,30
"Portswood","E36001018",40,15,25
"Redbridge","E36001019",80,40,40
"Shirley","E36001020",45,25,20
"Sholing","E36001021",40,25,15
"Swaythling","E36001022",45,30,15
"Woolston","E36001023",70,40,25
"Aldermaston","E36000842",0,0,0
"Basildon","E36000843",0,0,0
"Birch Copse","E36000844",0,0,0
"Bucklebury","E36000845",5,5,0
"Burghfield","E36000846",5,5,0
"Calcot","E36000847",20,5,10
"Chieveley","E36000848",0,0,0
"Clay Hill","E36000849",20,15,5
"Cold Ash","E36000850",0,0,0
"Compton","E36000851",5,5,0
"Downlands","E36000852",5,5,0
"Falkland","E36000853",5,5,0
"Greenham","E36000854",15,5,10
"Hungerford","E36000855",5,5,0
"Kintbury","E36000856",10,5,5
"Lambourn Valley","E36000857",0,0,0
"Mortimer","E36000858",10,5,10
"Northcroft","E36000859",10,10,5
"Pangbourne","E36000860",5,0,0
"Purley on Thames","E36000861",5,5,0
"Speen","E36000862",10,5,10
"St Johns","E36000863",20,15,5
"Sulhamstead","E36000864",5,0,0
"Thatcham Central","E36000865",5,5,0
"Thatcham North","E36000866",10,5,10
"Thatcham South and Crookham","E36000867",15,10,5
"Thatcham West","E36000868",10,5,5
"Theale","E36000869",5,0,5
"Victoria","E36000870",15,10,10
"Westwood","E36000871",5,0,0
"Ascot and Cheapside","E36000902",5,0,0
"Belmont","E36000903",10,5,5
"Bisham and Cookham","E36000904",0,0,0
"Boyn Hill","E36000905",5,0,0
"Bray","E36000906",5,5,0
"Castle Without","E36000907",0,0,0
"Clewer East","E36000908",0,0,0
"Clewer North","E36000909",20,10,10
"Clewer South","E36000910",10,5,5
"Cox Green","E36000911",5,0,5
"Datchet","E36000912",10,5,5
"Eton and Castle","E36000913",5,0,5
"Eton Wick","E36000914",0,0,0
"Furze Platt","E36000915",10,5,5
"Horton and Wraysbury","E36000916",5,5,5
"Hurley and Walthams","E36000917",10,5,5
"Maidenhead Riverside","E36000918",5,0,5
"Old Windsor","E36000919",5,5,0
"Oldfield","E36000920",25,20,10
"Park","E36000921",0,0,0
"Pinkneys Green","E36000922",10,5,5
"Sunningdale","E36000923",0,0,0
"Sunninghill and South Ascot","E36000924",0,0,0
"Arborfield","E36000925",5,0,0
"Barkham","E36000926",5,5,0
"Bulmershe and Whitegates","E36000927",15,10,5
"Charvil","E36000928",5,5,0
"Coronation","E36000929",5,5,0
"Emmbrook","E36000930",10,5,5
"Evendons","E36000931",10,5,0
"Finchampstead North","E36000932",5,0,0
"Finchampstead South","E36000933",5,0,5
"Hawkedon","E36000934",10,5,5
"Hillside","E36000935",5,5,0
"Hurst","E36000936",5,0,0
"Loddon","E36000937",20,15,5
"Maiden Erlegh","E36000938",10,10,5
"Norreys","E36000939",15,10,5
"Remenham, Wargrave and Ruscombe","E36000940",5,0,0
"Shinfield North","E36000941",5,0,0
"Shinfield South","E36000942",15,5,5
"Sonning","E36000943",0,0,0
"South Lake","E36000944",5,5,0
"Swallowfield","E36000945",0,0,0
"Twyford","E36000946",0,0,0
"Wescott","E36000947",5,0,5
"Winnersh","E36000948",15,10,5
"Wokingham Without","E36000949",5,5,0
"Aston Clinton","E36001634",10,5,5
"Aylesbury Central","E36001635",10,5,5
"Bedgrove","E36001636",10,10,5
"Bierton","E36001637",0,0,0
"Brill","E36001638",0,0,0
"Buckingham North","E36001639",10,0,5
"Buckingham South","E36001640",5,0,5
"Cheddington","E36001641",5,0,0
"Coldharbour","E36001642",15,10,5
"Edlesborough","E36001643",5,0,0
"Elmhurst and Watermead","E36001644",20,10,10
"Gatehouse","E36001645",35,20,15
"Great Brickhill","E36001646",0,0,0
"Great Horwood","E36001647",0,0,0
"Grendon Underwood","E36001648",5,0,0
"Haddenham","E36001649",5,5,5
"Long Crendon","E36001650",5,5,0
"Luffield Abbey","E36001651",0,0,0
"Mandeville and Elm Farm","E36001652",15,5,10
"Marsh Gibbon","E36001653",0,0,0
"Newton Longville","E36001654",0,0,0
"Oakfield","E36001655",10,5,5
"Pitstone","E36001656",0,0,0
"Quainton","E36001657",0,0,0
"Quarrendon","E36001658",30,15,15
"Southcourt","E36001659",25,15,10
"Steeple Claydon","E36001660",0,0,0
"Stewkley","E36001661",0,0,0
"Tingewick","E36001662",5,5,0
"Waddesdon","E36001663",0,0,0
"Walton Court and Hawkslade","E36001664",15,10,5
"Weedon","E36001665",15,10,5
"Wendover","E36001666",10,5,5
"Wing","E36001667",0,0,0
"Wingrave","E36001668",0,0,0
"Winslow","E36001669",10,0,5
"Amersham Common","E36001670",0,0,0
"Amersham Town","E36001671",5,5,0
"Amersham-on-the-Hill","E36001672",10,5,5
"Asheridge Vale and Lowndes","E36001673",5,5,0
"Ashley Green, Latimer and Chenies","E36001674",0,0,0
"Austenwood","E36001675",0,0,0
"Ballinger, South Heath and Chartridge","E36001676",0,0,0
"Central","E36001677",10,5,5
"Chalfont Common","E36001678",0,0,0
"Chalfont St Giles","E36001679",5,5,0
"Chesham Bois and Weedon Hill","E36001680",5,0,5
"Cholesbury, The Lee and Bellingdon","E36001681",0,0,0
"Gold Hill","E36001682",0,0,0
"Great Missenden","E36001683",0,0,0
"Hilltop and Townsend","E36001684",0,0,0
"Holmer Green","E36001685",5,0,0
"Little Chalfont","E36001686",5,0,0
"Little Missenden","E36001687",0,0,0
"Newtown","E36001688",5,0,5
"Penn and Coleshill","E36001689",5,0,0
"Prestwood and Heath End","E36001690",5,5,0
"Ridgeway","E36001691",15,10,5
"Seer Green","E36001692",0,0,0
"St Mary's and Waterside","E36001693",15,10,5
"Vale","E36001694",10,5,5
"Beaconsfield North","E36001695",5,0,5
"Beaconsfield South","E36001696",5,5,0
"Beaconsfield West","E36001697",5,0,0
"Burnham Beeches","E36001698",0,0,0
"Burnham Church","E36001699",15,10,5
"Burnham Lent Rise","E36001700",5,5,0
"Denham North","E36001701",5,0,5
"Denham South","E36001702",10,5,5
"Dorney and Burnham South","E36001703",0,0,0
"Farnham Royal","E36001704",5,5,0
"Gerrards Cross East and Denham South West","E36001705",0,0,0
"Gerrards Cross North","E36001706",0,0,0
"Gerrards Cross South","E36001707",0,0,0
"Hedgerley and Fulmer","E36001708",5,0,0
"Iver Heath","E36001709",5,5,0
"Iver Village and Richings Park","E36001710",10,5,5
"Stoke Poges","E36001711",5,5,0
"Taplow","E36001712",0,0,0
"Wexham and Iver West","E36001713",5,5,0
"Abbey","E36001714",20,10,10
"Bledlow and Bradenham","E36001715",5,5,0
"Booker and Cressex","E36001716",20,10,5
"Bourne End-cum-Hedsor","E36001717",0,0,0
"Bowerdean","E36001718",15,10,5
"Chiltern Rise","E36001719",10,10,0
"Disraeli","E36001720",20,10,5
"Downley and Plomer Hill","E36001721",10,5,0
"Flackwell Heath and Little Marlow","E36001722",5,5,0
"Greater Hughenden","E36001723",0,0,0
"Greater Marlow","E36001724",0,0,0
"Hambleden Valley","E36001725",0,0,0
"Hazlemere North","E36001726",5,5,5
"Hazlemere South","E36001727",0,0,0
"Icknield","E36001728",0,0,0
"Lacey Green, Speen and the Hampdens","E36001729",0,0,0
"Marlow North and West","E36001730",0,0,0
"Marlow South East","E36001731",5,5,0
"Micklefield","E36001732",20,10,10
"Oakridge and Castlefield","E36001733",40,25,15
"Ryemead","E36001734",15,5,10
"Sands","E36001735",15,10,10
"Stokenchurch and Radnage","E36001736",5,0,0
"Terriers and Amersham Hill","E36001737",25,20,5
"The Risboroughs","E36001738",10,5,5
"The Wooburns","E36001739",5,5,0
"Totteridge","E36001740",15,5,10
"Tylers Green and Loudwater","E36001741",5,0,5
"Devonshire","E36002533",80,40,40
"Hampden Park","E36002534",60,35,25
"Langney","E36002535",40,25,20
"Meads","E36002536",30,20,15
"Old Town","E36002537",40,25,15
"Ratton","E36002538",10,5,0
"Sovereign","E36002539",25,15,10
"St Anthony's","E36002540",40,20,20
"Upperton","E36002541",50,30,20
"Ashdown","E36002542",20,10,10
"Baird","E36002543",50,30,20
"Braybrooke","E36002544",25,20,10
"Castle","E36002545",50,30,25
"Central St Leonards","E36002546",55,35,20
"Conquest","E36002547",5,0,5
"Gensing","E36002548",40,30,15
"Hollington","E36002549",50,30,20
"Maze Hill","E36002550",15,10,5
"Old Hastings","E36002551",25,15,10
"Ore","E36002552",25,15,10
"Silverhill","E36002553",15,10,5
"St Helens","E36002554",10,5,0
"Tressell","E36002555",45,30,15
"West St Leonards","E36002556",25,10,15
"Wishing Tree","E36002557",40,25,15
"Barcombe and Hamsey","E36002558",5,0,0
"Chailey and Wivelsfield","E36002559",5,0,0
"Ditchling and Westmeston","E36002560",0,0,0
"East Saltdean and Telscombe Cliffs","E36002561",15,10,5
"Kingston","E36002562",5,5,0
"Lewes Bridge","E36002563",10,10,5
"Lewes Castle","E36002564",15,10,5
"Lewes Priory","E36002565",15,10,5
"Newhaven Denton and Meeching","E36002566",40,30,15
"Newhaven Valley","E36002567",30,20,10
"Newick","E36002568",0,0,0
"Ouse Valley and Ringmer","E36002569",20,10,5
"Peacehaven East","E36002570",20,10,5
"Peacehaven North","E36002571",15,10,5
"Peacehaven West","E36002572",10,5,5
"Plumpton, Streat, East Chiltington and St John (Without)","E36002573",0,0,0
"Seaford Central","E36002574",10,5,0
"Seaford East","E36002575",5,5,0
"Seaford North","E36002576",10,5,0
"Seaford South","E36002577",10,5,5
"Seaford West","E36002578",0,0,0
"Battle Town","E36002579",5,5,0
"Brede Valley","E36002580",10,10,0
"Central","E36002581",35,25,10
"Collington","E36002582",0,0,0
"Crowhurst","E36002583",5,5,0
"Darwell","E36002584",5,0,0
"Eastern Rother","E36002585",10,5,5
"Ewhurst and Sedlescombe","E36002586",5,5,0
"Kewhurst","E36002587",10,5,5
"Marsham","E36002588",10,5,5
"Old Town","E36002589",15,5,5
"Rother Levels","E36002590",10,5,5
"Rye","E36002591",15,10,10
"Sackville","E36002592",15,10,5
"Salehurst","E36002593",10,5,5
"Sidley","E36002594",45,30,15
"St Marks","E36002595",10,5,5
"St Michaels","E36002596",20,15,10
"St Stephens","E36002597",30,15,15
"Ticehurst and Etchingham","E36002598",5,0,0
"Alfriston","E36002599",5,5,0
"Buxted and Maresfield","E36002600",0,0,0
"Chiddingly and East Hoathly","E36002601",0,0,0
"Cross in Hand/Five Ashes","E36002602",0,0,0
"Crowborough East","E36002603",5,0,0
"Crowborough Jarvis Brook","E36002604",0,0,0
"Crowborough North","E36002605",5,0,5
"Crowborough St. Johns","E36002606",0,0,0
"Crowborough West","E36002607",5,5,0
"Danehill/Fletching/Nutley","E36002608",5,0,0
"East Dean","E36002609",5,0,5
"Forest Row","E36002610",0,0,0
"Framfield","E36002611",0,0,0
"Frant/Withyham","E36002612",5,0,0
"Hailsham Central and North","E36002613",15,15,0
"Hailsham East","E36002614",25,15,10
"Hailsham South and West","E36002615",25,10,15
"Hartfield","E36002616",0,0,0
"Heathfield East","E36002617",0,0,0
"Heathfield North and Central","E36002618",10,5,5
"Hellingly","E36002619",15,10,5
"Herstmonceux","E36002620",5,0,5
"Horam","E36002621",5,0,0
"Mayfield","E36002622",5,0,0
"Ninfield and Hooe with Wartling","E36002623",0,0,0
"Pevensey and Westham","E36002624",25,15,10
"Polegate North","E36002625",20,10,10
"Polegate South","E36002626",5,5,0
"Rotherfield","E36002627",0,0,0
"Uckfield Central","E36002628",5,5,0
"Uckfield New Town","E36002629",5,5,0
"Uckfield North","E36002630",15,10,10
"Uckfield Ridgewood","E36002631",5,5,0
"Wadhurst","E36002632",5,5,0
"Willingdon","E36002633",15,15,5
"Basing","E36003043",5,5,5
"Baughurst and Tadley North","E36003044",5,5,5
"Bramley and Sherfield","E36003045",10,5,5
"Brighton Hill North","E36003046",15,10,5
"Brighton Hill South","E36003047",15,10,5
"Brookvale and Kings Furlong","E36003048",20,15,5
"Buckskin","E36003049",25,20,10
"Burghclere, Highclere and St Mary Bourne","E36003050",5,0,5
"Chineham","E36003051",10,5,5
"East Woodhay","E36003052",0,0,0
"Eastrop","E36003053",30,15,15
"Grove","E36003054",20,10,10
